ID,Section,Title,Preconditions,Steps,Expected Result,Status,Actual Behavior,Severity,Notes,Tester,Date
A01,Sign-in,Cashier signs in with valid PIN,App at login screen; cashier user exists,"1. Tap cashier user. 2. Enter correct PIN. 3. Submit.",App loads main POS screen with cashier name in header.,,,,,,
A02,Sign-in,Sign-in with wrong PIN is rejected,App at login screen,"1. Tap any user. 2. Enter wrong PIN. 3. Submit.","Error message shown (""Invalid PIN"" or similar). User stays on login screen. After 3 failed attempts, throttle / cooldown shown.",,,,,,
A03,Sign-in,Sign-out from header (manager-only),Logged in as cashier; cashier should NOT see sign-out,"1. Look at header for sign-out button. 2. Sign out as cashier (if button exists, click it). 3. Sign in as manager. 4. Look for sign-out. 5. Click.",Cashier does NOT see sign-out (or sees it but with permission denied). Manager sees sign-out and can use it.,,,,Tests permission gating on sign-out.,,
A04,Shift,Open new shift with opening cash float,Logged in as cashier; no shift open on this terminal,"1. Open shift dialog. 2. Enter opening cash (e.g., 100.00 EUR). 3. Confirm.","Shift opens. Header shows shift status ""Open"". Opening cash recorded.",,,,,,
A05,Shift,Re-opening with shift already open shows current state,Cashier with active shift,1. Try to open another shift on the same terminal.,Existing open shift is shown; new-shift option disabled or asks to close first.,,,,,,
B01,Sale,Exact cash tender,Open shift; product priced 10.00 EUR,"1. Add product to cart. 2. Tap Pay. 3. Choose Cash. 4. Enter 10.00. 5. Confirm.",Receipt printed/previewed. Change due = 0.00. Receipt total = 10.00.,,,,,,
B02,Sale,Overpay with change due,Same as B01,"1. Add product. 2. Pay Cash. 3. Enter 20.00. 4. Confirm.","Change due = 10.00. Receipt shows tendered 20.00, change due 10.00.",,,,,,
B03,Sale,Receipt scale (EUR),Tenant currency = EUR,1. Complete any cash sale. 2. Look at receipt monetary display.,"All amounts shown with 2 decimals (e.g., €10.00, NOT €10.000).",,,,Verifies PR #45 currency-aware display scale,,
B04,Sale,Receipt scale (TND),Tenant currency = TND (if available; SKIP if no TND tenant),1. Complete any cash sale on a TND tenant. 2. Look at receipt monetary display.,"All amounts shown with 3 decimals (e.g., 10.000 TND).",,,,Same fix; verifies TN compliance,,
B05,Sale,Underpay outside tolerance is REJECTED,Open shift; product priced 10.00 EUR; tolerance settings active,"1. Add product 10.00. 2. Pay Cash. 3. Enter 8.00 (more than €0.50 short for FR or 0.5% of 10.00). 4. Try to confirm.",Sale is rejected with clear error message. Receipt is NOT printed. Cart preserved.,,,,Phase 2 A1 — outside tolerance branch,,
B06,Sale,"Underpay within tolerance is ACCEPTED with ""Rounding"" line",Open shift; product priced 10.02 EUR,"1. Add product 10.02. 2. Pay Cash. 3. Enter 10.00 (€0.02 short — within FR tolerance). 4. Confirm.","Sale is accepted. Receipt shows a ""Rounding"" line of -€0.02. Total paid line still 10.02. Change due = 0.",,,,Phase 2 A1 — tolerance writeoff path,,
B07,Sale,Multi-tender (cash + card),Open shift; product priced 50.00 EUR,"1. Add product 50.00. 2. Pay. 3. Tender 30.00 cash. 4. Tender 20.00 card. 5. Confirm.",Sale completed. Receipt shows two tenders. Total paid = 50.00.,,,,,,
B08,Sale,Cancel mid-checkout,Cart with items,"1. Add items. 2. Tap Pay. 3. Cancel before completing.",Returns to cart screen with items intact. No receipt printed.,,,,,,
C01,Discount,Apply line-level discount via fullscreen modal,Cart with one line,"1. Tap a line item. 2. Tap ""Discount"" / line discount action. 3. Modal opens fullscreen. 4. Enter percentage (e.g., 10%). 5. Confirm.","Modal opens fullscreen (not popover). Discount applied to that line only. Line total shows discount. Cart total recalculates.",,,,PR #38 fullscreen UX,,
C02,Discount,Edit + remove line discount,Line with active discount,"1. Tap the line. 2. Open discount modal. 3. Change to 5% (or remove). 4. Confirm.",Discount updates or removes. Cart total recalculates correctly.,,,,,,
C03,Discount,Apply transaction-level discount via fullscreen modal,Cart with multiple lines,"1. Tap ""Discount"" at the cart level (NOT a specific line). 2. Modal opens fullscreen. 3. Enter amount or percent. 4. Confirm.",Modal fullscreen. Discount applied to entire transaction. Receipt shows the transaction discount line.,,,,PR #38 + Phase 4 reactivity,,
C04,Discount,Sub-tolerance discount on POS (UI hint),Tenant has tolerance settings,1. Cart with line at 10.00. 2. Try to apply a discount of 0.05 (below FR €0.50 tolerance threshold).,"Either (a) the discount is allowed but flagged with a warning (""below tolerance"") or (b) the input shows an inline below-tolerance hint. NOT silently accepted without feedback.",,,,Phase 4 anti-abuse FE mirror; behavior depends on policy,,
C05,Discount,Tax math after discount is correct,Cart with taxed item,"1. Add product 100.00 (with 20% VAT). 2. Apply 10% discount. 3. Look at receipt totals.","Subtotal: 90.00. VAT: 18.00. Total: 108.00. (Or whatever the tax rules are — verify the math is internally consistent.)",,,,,,
