file,line,class,method,route,reason_excerpt,classification,first_tenant_exposed,fix_pr_or_acceptance,owner,notes
apps/api/app/Modules/Identity/Presentation/Controllers/AuthController.php,413,AuthController,checkEmail,TBD,Pre-auth: email-availability lookup before registration; queries User::where(email) globally to detect any pre-existing account (any tenant),accept-with-doc,yes,accept-with-doc 2026-05-13 — pre-auth: tenant context does not exist before login/register; routes are rate-limited,@otospexsolutions,
apps/api/app/Modules/Identity/Presentation/Controllers/AuthController.php,495,AuthController,verifyEmail,TBD,Pre-auth: email-verification token redemption from the verification link emailed at registration; resolves the user via the signed token (Em,accept-with-doc,yes,accept-with-doc 2026-05-13 — pre-auth: tenant context does not exist before login/register; routes are rate-limited,@otospexsolutions,
apps/api/app/Modules/Identity/Presentation/Controllers/AuthController.php,559,AuthController,forgotPassword,TBD,Pre-auth: password-reset request — accepts an email and dispatches a Password::sendResetLink (Laravel password broker) which finds the user ,accept-with-doc,yes,accept-with-doc 2026-05-13 — pre-auth: tenant context does not exist before login/register; routes are rate-limited,@otospexsolutions,
apps/api/app/Modules/Identity/Presentation/Controllers/AuthController.php,583,AuthController,resetPassword,TBD,Pre-auth: password-reset token redemption — verifies the signed reset token via Laravel's Password broker; updates the user's password; and ,accept-with-doc,yes,accept-with-doc 2026-05-13 — pre-auth: tenant context does not exist before login/register; routes are rate-limited,@otospexsolutions,
apps/api/app/Modules/Product/Presentation/Controllers/PublicProductImageController.php,23,PublicProductImageController,index,TBD,Public e-commerce catalog: serves product images from any tenant whose product has is_active_for_ecommerce=true. Cross-tenant by design — pu,accept-with-doc,yes,accept-with-doc 2026-05-13 — public e-commerce catalog by design; rate-limited,@otospexsolutions,
apps/api/app/Modules/Product/Presentation/Controllers/PublicProductImageController.php,48,PublicProductImageController,show,TBD,Public e-commerce catalog: serves a single product image from any tenant whose product has is_active_for_ecommerce=true; validates $image->p,accept-with-doc,yes,accept-with-doc 2026-05-13 — public e-commerce catalog by design; rate-limited,@otospexsolutions,
apps/api/app/Http/Controllers/Api/Admin/SuperAdminAuthController.php,17,SuperAdminAuthController,login,TBD,Super-admin authentication (pre-auth): credential check against the super_admins table BEFORE any session/tenant context exists; mounted pub,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Http/Controllers/Api/Admin/SuperAdminController.php,28,SuperAdminController,dashboard,TBD,Super-admin dashboard aggregates fleet-wide tenant; user; and subscription counts for the platform-operations panel; mounted under the auth:,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Http/Controllers/Api/Admin/SuperAdminController.php,47,SuperAdminController,tenants,TBD,Super-admin tenant directory: lists every tenant in the fleet with optional name/slug/tax_id search for support and billing operations; moun,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
apps/api/app/Http/Controllers/Api/Admin/SuperAdminController.php,69,SuperAdminController,showTenant,TBD,Super-admin tenant detail view: reads any tenant by id and renders fleet-context stats (users_count; companies_count; locations_count) joine,legitimate-platform,no,legitimate-platform 2026-05-13 — auto-locked from generator heuristic (Spatie/super-admin/webhook/static-reference); see scripts/generate-cross-tenant-inventory.py classify(),@otospexsolutions,
